ticker;filing_day;filedAt;entry_datetime;entry_price;entry_price_news;kind;horizon_days;ret_open_%;ret_news_%;exit_open_price;exit_news_price
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;mean;30;-0.87;-1.09;71.22635833333334;71.22635833333334
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;high;60;10.56;10.31;79.4374;79.4342
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;low;60;-8.1;-8.3;66.0301;66.0332
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;mean;60;0.43;0.21;72.15845125;72.15845125
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;high;90;10.56;10.31;79.4374;79.4342
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;low;90;-8.1;-8.3;66.0301;66.0332
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;mean;90;0.3;0.07;72.06359942528738;72.06359942528738
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;high;1;8.65;7.62;5.6498;5.6501
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;low;1;-1.15;-2.1;5.1402;5.1398
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;mean;1;2.98;2.0;5.355;5.355
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;high;2;8.65;7.62;5.6498;5.6501
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;low;2;-1.15;-2.1;5.1402;5.1398
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;mean;2;4.12;3.13;5.414166666666667;5.414166666666667
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;high;3;9.42;8.38;5.6898;5.69
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;low;3;-1.15;-2.1;5.1402;5.1398
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;mean;3;4.27;3.27;5.421875;5.421875
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;high;5;9.42;8.38;5.6898;5.69
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;low;5;-1.15;-2.1;5.1402;5.1398
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;mean;5;4.23;3.24;5.420075;5.420075
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;high;7;10.96;9.9;5.7699;5.7698
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;low;7;-1.15;-2.1;5.1402;5.1398
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;mean;7;5.14;4.14;5.467321875;5.467321875
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;high;10;15.19;14.1;5.9899;5.9902
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;low;10;-1.15;-2.1;5.1402;5.1398
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;mean;10;6.98;5.96;5.563052272727273;5.563052272727273
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;high;14;18.27;17.14;6.15;6.1498
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;low;14;-1.15;-2.1;5.1402;5.1398
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;mean;14;8.42;7.39;5.637808333333333;5.637808333333333
